"Id";"Designator";"Package";"Quantity";"Designation";"Supplier and ref";
1;"D4,D2,D1,D3";"LED_0805_2012Metric";4;"LED";;;
2;"U1";"General Sensor Module - 8x10 pin";1;"ISS_SENSOR_SUITE_V_1";;;
3;"J1,J3,J2,J4";"PinHeader_2x12_P2.54mm_Vertical_SMD";4;"Conn_02x12_Odd_Even";;;
4;"R2,R1,R4,R3";"R_0805_2012Metric";4;"470";;;
5;"U2";"Teensy41_bare";1;"Teensy4.1_bare";;;
6;"BT1";"BatteryHolder_Keystone_3000_1x12mm";1;"CR1225";;;
7;"G***";"doot";1;"LOGO";;;
8;"U3";"SOT-23-5";1;"LP2985-3.0";;;
